trip_date,trip_hour,trips,avg_fare,avg_trip_distance
2023-01-02,23,1818,27.87351485148521,6.458608360836078
2023-01-03,17,6016,18.837007978723413,3.4781382978723427
2023-01-03,16,5677,20.967116434736695,3.974181786154654
2023-01-05,5,575,25.335652173913058,5.622799999999996
2023-01-05,22,4602,18.45309865275965,3.6941242937853107
2023-01-06,14,6663,19.17370253639503,3.3928905898243986
2023-01-06,17,7178,17.16580105879073,2.921897464474775
2023-01-06,18,7240,16.18278038674034,2.75607734806631
2023-01-07,4,827,21.542442563482464,4.358355501813787
2023-01-07,15,6391,18.80654201220472,3.447749960882494
2023-01-08,12,5287,17.47179496879137,3.297692453187066
2023-01-09,20,4513,18.41453135386666,3.761209838245055
2023-01-10,6,1760,18.850914772727275,3.8386761363636284
2023-01-10,11,5194,17.470469772814802,2.903215248363488
2023-01-11,1,726,19.035399449035815,3.9861432506887042
